Mouse_ID,session,time_start_stop,csv_timestamp,csv_loom,nidq,lf,ap,sorting_format,sorting_spikes,sorting_quality,boris_labels,probe_tracking,last_channel_manually,preprocessed,video,framechannel,Cm2Pixel_xy,arena_width_arena_height,arena_center_xy,Shelter_xy,bottom_video,bottom_framechannel,bottom_Cm2Pixel_xy,bottom_arena_center_xy,bottom_Shelter_xy,diode_threshold,MINI2P_channel,diodechannel,frame_loss,loom,cricket,pups,mouse_tracking,bottom_mouse_tracking,cricket_tracking,bottom_cricket_tracking,pup_tracking,bottom_pup_tracking,CSV_indeces_to_remove,diode_indeces_to_remove,boris_times_to_add,diode_times_to_add,Sorting,notes
afm16505,231211_1,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231211\behavior\afm16505_timestamps1.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231211\behavior\afm16505looms_timestamp1.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231211\ephys\raw\231211_test_g0\231211_test_g0_t0.nidq.bin,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231211\ephys\raw\231211_test_g0\231211_test_g0_imec0\231211_test_g0_t0.imec0.lf.bin,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231211\ephys\raw\231211_test_g0\231211_test_g0_imec0\231211_test_g0_t0.imec0.ap.bin,ironclust,,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231211\behavior\boris_1.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\histology\brain annotation\brainreg_090224\segmentation\atlas_space\tracks\track_1.csv,290,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231211\postscript,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231211\behavior\corrected_afm16505_231211_1.avi,1,,90.0 90.0,,,,,,,,9.6,,1,2,TRUE,FALSE,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231211\behavior\tracked\corrected_afm16505_231211_1.avi.mouse.h5,,,,,,,,,,,
afm16505,231212_2,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231212\behaviour\afm16505_timestamps2.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231212\behaviour\afm16505looms_timestamp2.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231212\ephys\231212_test3_g0\231212_test3_g0_t0.nidq.bin,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231212\ephys\231212_test3_g0\231212_test3_g0_imec0\231212_test3_g0_t0.imec0.lf.bin,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231212\ephys\231212_test3_g0\231212_test3_g0_imec0\231212_test3_g0_t0.imec0.ap.bin,ironclust,,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231212\behaviour\boris_2.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\histology\brain annotation\brainreg_090224\segmentation\atlas_space\tracks\track_1.csv,290,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231212\postscript,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231212\behaviour\afm16505_231212_2.avi,1,,90.0 90.0,,,,,,,,9.6,,1,2,TRUE,FALSE,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231212\behaviour\tracked\afm16505_231212_2.avi.mouse.h5,,,,,,,,,,,
afm16505,231213_0,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231213\behaviour\afm16505_timestamps0.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231213\behaviour\afm16505looms_timestamp0.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231213\ephys\raw\231212_test4_g0\231212_test4_g0_t0.nidq.bin,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231213\ephys\raw\231212_test4_g0\231212_test4_g0_imec0\231212_test4_g0_t0.imec0.lf.bin,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231213\ephys\raw\231212_test4_g0\231212_test4_g0_imec0\231212_test4_g0_t0.imec0.ap.bin,ironclust,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231213\ephys\sorted\IRC_hi_amps\Copy_of_monopolar_231212_test4_g0_tcat.imec0.ap_imec3B2.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231213\ephys\sorted\IRC_hi_amps\Copy_of_monopolar_231212_test4_g0_tcat.imec0.ap_imec3B2_quality.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231213\behaviour\boris.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\histology\brain annotation\brainreg_090224\segmentation\atlas_space\tracks\track_1.csv,290,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231213\postscript,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231213\behaviour\afm16505_231213_0.avi,1,,90.0 90.0,,,,,,,,9.6,,1,3,TRUE,TRUE,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231213\behaviour\tracked\Afm16505_231213_0_sharp.mp4.roundArena_mouse.h5,,,,,,,,,,IRC,
afm16505,231215_2_0,"0,866.69",\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\behavior\afm16505_timestamps2.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\behavior\afm16505looms_timestamp2.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\ephys\raw\231215_test7_g0\231215_test7_g0_t0.nidq.bin,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\ephys\raw\231215_test7_g0\231215_test7_g0_imec0\231215_test7_g0_t0.imec0.lf.bin,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\ephys\raw\231215_test7_g0\231215_test7_g0_imec0\231215_test7_g0_t0.imec0.ap.bin,ironclust,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\ephys\preprocessed\spk\shortwin_traces_cached_seg0_probe.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\ephys\preprocessed\spk\shortwin_traces_cached_seg0_probe_quality.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\behavior\boris_2.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\histology\brain annotation\brainreg_090224\segmentation\atlas_space\tracks\track_1.csv,290,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\postscript,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\behavior\corrected_afm16505_231215_2.avi,1,,90.0 90.0,,,,,,,,9.6,,1,3,TRUE,TRUE,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\behavior\tracked\corrected_afm16505_231215_2.avi.mouse.h5,,,,,,,,,,,
afm16505,231215_2_1,"866.7,2381.22",\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\behavior\afm16505_timestamps2.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\behavior\afm16505looms_timestamp2.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\ephys\raw\231215_test7_g0\231215_test7_g0_t0.nidq.bin,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\ephys\raw\231215_test7_g0\231215_test7_g0_imec0\231215_test7_g0_t0.imec0.lf.bin,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\ephys\raw\231215_test7_g0\231215_test7_g0_imec0\231215_test7_g0_t0.imec0.ap.bin,ironclust,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\ephys\preprocessed\spk\shortwin_traces_cached_seg0_probe.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\ephys\preprocessed\spk\shortwin_traces_cached_seg0_probe_quality.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\behavior\boris_2.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\histology\brain annotation\brainreg_090224\segmentation\atlas_space\tracks\track_1.csv,290,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\postscript,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\behavior\corrected_afm16505_231215_2.avi,1,,90.0 90.0,,,,,,,,9.6,,1,3,TRUE,TRUE,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\behavior\tracked\corrected_afm16505_231215_2.avi.mouse.h5,,,,,,,,,,,
afm16505,231215_2_2,"2381.23,5056.96",\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\behavior\afm16505_timestamps2.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\behavior\afm16505looms_timestamp2.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\ephys\raw\231215_test7_g0\231215_test7_g0_t0.nidq.bin,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\ephys\raw\231215_test7_g0\231215_test7_g0_imec0\231215_test7_g0_t0.imec0.lf.bin,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\ephys\raw\231215_test7_g0\231215_test7_g0_imec0\231215_test7_g0_t0.imec0.ap.bin,ironclust,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\ephys\preprocessed\spk\shortwin_traces_cached_seg0_probe.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\ephys\preprocessed\spk\shortwin_traces_cached_seg0_probe_quality.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\behavior\boris_2.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\histology\brain annotation\brainreg_090224\segmentation\atlas_space\tracks\track_1.csv,290,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\postscript,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\behavior\corrected_afm16505_231215_2.avi,1,,90.0 90.0,,,,,,,,9.6,,1,3,TRUE,TRUE,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231215\behavior\tracked\corrected_afm16505_231215_2.avi.mouse.h5,,,,,,,,,,,
afm16505,231218_0,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231218\behavior\afm16505_timestamps0.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231218\behavior\afm16505looms_timestamp0.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231218\ephys\raw\231215_test8_g0\231215_test8_g0_t0.nidq.bin,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231218\ephys\raw\231215_test8_g0\231215_test8_g0_imec0\231215_test8_g0_t0.imec0.lf.bin,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231218\ephys\raw\231215_test8_g0\231215_test8_g0_imec0\231215_test8_g0_t0.imec0.ap.bin,ironclust,,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231218\behavior\boris.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\histology\brain annotation\brainreg_090224\segmentation\atlas_space\tracks\track_1.csv,290,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231218\postscript,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231218\behavior\afm16505_231218_0.avi,1,,90.0 90.0,,,,,,,,9.6,,1,3,TRUE,FALSE,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231218\behavior\tracked\afm16505_231218_0.avi.roundArena_mouse.h5,,,,,,,,,,,
afm16618,240214,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240214\behavior\afm16618_timestamps0.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240214\behavior\afm16618looms_timestamp0.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240214\ephys\raw\trial0_g0\trial0_g0_t0.nidq.bin,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240214\ephys\raw\trial0_g0\trial0_g0_imec0\trial0_g0_t0.imec0.lf.bin,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240214\ephys\raw\trial0_g0\trial0_g0_imec0\trial0_g0_t0.imec0.ap.bin,ironclust,,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240214\behavior\boris.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\histology\brainreg\segmentation\sample_space\tracks\track_0.csv,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240214\postscript,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240214\behavior\afm16618_0.avi,2,,90.0 90.0,,,,,,,,5,,1,2,TRUE,TRUE,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240214\behavior\tracked\afm16618_240214_afm16618_0_sharp.mp4.roundArena_mouse.h5,,,,,,,,,,,
afm16618,240216,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240216\behavior\afm16618_timestamps0.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240216\behavior\afm16618looms_timestamp0.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240216\ephys\raw\trial0\trial0_g0\trial0_g0_t0.nidq.bin,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240216\ephys\raw\trial0\trial0_g0\trial0_g0_imec0\trial0_g0_t0.imec0.lf.bin,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240216\ephys\raw\trial0\trial0_g0\trial0_g0_imec0\trial0_g0_t0.imec0.ap.bin,ironclust,,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240216\behavior\boris.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\histology\brainreg\segmentation\sample_space\tracks\track_0.csv,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240216\postscript,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240216\behavior\afm16618_0.avi,2,,90.0 90.0,,,,,,,,6,,1,1,TRUE,TRUE,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240216\behavior\tracked\afm16618_240216_afm16618_0_sharp.mp4.roundArena_mouse.h5,,,,,,,,,,,
afm16618,240226_0,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240226\behavior\afm16618_timestamps0.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240226\behavior\afm16618looms_timestamp0.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240226\ephys\raw\trial0_g0\trial0_g0_t0.nidq.bin,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240226\ephys\raw\trial0_g0\trial0_g0_imec0\trial0_g0_t0.imec0.lf.bin,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240226\ephys\raw\trial0_g0\trial0_g0_imec0\trial0_g0_t0.imec0.ap.bin,ironclust,,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240226\behavior\boris_0.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\histology\brainreg\segmentation\sample_space\tracks\track_0.csv,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240226\postscript\240226_0,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240226\behavior\afm16618_0.avi,2,,90.0 90.0,,,,,,,,93,,1,1,TRUE,TRUE,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240226\behavior\tracked\afm16618_240226_afm16618_0_sharp.mp4.roundArena_mouse.h5,,,,,,,,,,,
