Mouse_ID,session,video,csv_timestamp,csv_loom,nidq,lf,ap,sorting_directory,Mouse_tracking,cricket_tracking,pup_tracking,boris_labels,estimated_depth,bad_channels,pag_channels,probe_tracking,preprocessed
afm16505,231211_1,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231211\231211_behaviour\afm16505_231211_1.avi,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231211\231211_behaviour\afm16505_timestamps1.csv,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231211\231211_behaviour\afm16505looms_timestamp0.csv,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231211\231211_neuropixels\231211_test_g0\231211_test_g0_t0.nidq.bin,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231211\231211_neuropixels\231211_test_g0\231211_test_g0_imec0\231211_test_g0_t0.imec0.lf.bin,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231211\231211_neuropixels\231211_test_g0\231211_test_g0_imec0\231211_test_g0_t0.imec0.ap.bin,,,,,,,,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\histology\brain annotation\brainreg_090224\segmentation\atlas_space\tracks\track_1.csv,
afm16505,231212_0,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231212\231212_behaviour\afm16505_231212_0.avi,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231212\231212_behaviour\afm16505_timestamps0.csv,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231212\231212_behaviour\afm16505looms_timestamp0.csv,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231212\231212_neuropixels\231212_test_g0\231212_test_g0_t0.nidq.bin,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231212\231212_neuropixels\231212_test_g0\231212_test_g0_imec0\231212_test_g0_t0.imec0.lf.bin,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231212\231212_neuropixels\231212_test_g0\231212_test_g0_imec0\231212_test_g0_t0.imec0.ap.bin,,,,,,,,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\histology\brain annotation\brainreg_090224\segmentation\atlas_space\tracks\track_1.csv,
afm16505,231212_1,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231212\231212_behaviour\afm16505_231212_1.avi,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231212\231212_behaviour\afm16505_timestamps1.csv,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231212\231212_behaviour\afm16505looms_timestamp1.csv,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231212\231212_neuropixels\231212_test2_g0\231212_test2_g0_t0.nidq.bin,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231212\231212_neuropixels\231212_test2_g0\231212_test2_g0_imec0\231212_test2_g0_t0.imec0.lf.bin,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231212\231212_neuropixels\231212_test2_g0\231212_test2_g0_imec0\231212_test2_g0_t0.imec0.ap.bin,,,,,,,,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\histology\brain annotation\brainreg_090224\segmentation\atlas_space\tracks\track_1.csv,
afm16505,231212_2,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231212\231212_behaviour\afm16505_231212_2.avi,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231212\231212_behaviour\afm16505_timestamps2.csv,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231212\231212_behaviour\afm16505looms_timestamp2.csv,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231212\231212_neuropixels\231212_test3_g0\231212_test3_g0_t0.nidq.bin,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231212\231212_neuropixels\231212_test3_g0\231212_test3_g0_imec0\231212_test3_g0_t0.imec0.lf.bin,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231212\231212_neuropixels\231212_test3_g0\231212_test3_g0_imec0\231212_test3_g0_t0.imec0.ap.bin,,,,,,,,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\histology\brain annotation\brainreg_090224\segmentation\atlas_space\tracks\track_1.csv,
afm16505,231213_0,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231213\behaviour\afm16505_231213_0.avi,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231213\231213_behaviour\afm16505_timestamps0.csv,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231213\231213_behaviour\afm16505looms_timestamp0.csv,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231213\231213_neuropixels\231212_test4_g0\231212_test4_g0_t0.nidq.bin,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231213\231213_neuropixels\231212_test4_g0\231212_test4_g0_imec0\231212_test4_g0_t0.imec0.lf.bin,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231213\231213_neuropixels\231212_test4_g0\231212_test4_g0_imec0\231212_test4_g0_t0.imec0.ap.bin,E:\afm16505\231213\231213_neuropixels\231212_test4_g0_imec0\K3_only,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231213\trial0_flat\behaviour\inferonlyproject.010_Afm16505_231213_0_sharp.analysis.h5,,,E:\awesome_files\boris_labelling\new_labels_1213.csv,,,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\histology\brain annotation\brainreg_090224\segmentation\atlas_space\tracks\track_1.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\231213\postscript
afm16505,231215_0,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231215\231215_behaviour\afm16505_231215_0.avi,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231215\231215_behaviour\afm16505_timestamps0.csv,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231215\231215_behaviour\afm16505looms_timestamp0.csv,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231215\231215_neuropixels\231215_test5_g0\231215_test5_g0_t0.nidq.bin,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231215\231215_neuropixels\231215_test5_g0\231215_test5_g0_imec0\231215_test5_g0_t0.imec0.lf.bin,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231215\231215_neuropixels\231215_test5_g0\231215_test5_g0_imec0\231215_test5_g0_t0.imec0.ap.bin,,,,,,,,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\histology\brain annotation\brainreg_090224\segmentation\atlas_space\tracks\track_1.csv,
afm16505,231215_1,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231215\231215_behaviour\afm16505_231215_1.avi,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231215\231215_behaviour\afm16505_timestamps1.csv,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231215\231215_behaviour\afm16505looms_timestamp1.csv,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231215\231215_neuropixels\231215_test6_g0\231215_test6_g0_t0.nidq.bin,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231215\231215_neuropixels\231215_test6_g0\231215_test6_g0_imec0\231215_test6_g0_t0.imec0.lf.bin,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231215\231215_neuropixels\231215_test6_g0\231215_test6_g0_imec0\231215_test6_g0_t0.imec0.ap.bin,,,,,,,,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\histology\brain annotation\brainreg_090224\segmentation\atlas_space\tracks\track_1.csv,
afm16505,231215_2,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231215\231215_behaviour\afm16505_231215_2.avi,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231215\231215_behaviour\afm16505_timestamps2.csv,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231215\231215_behaviour\afm16505looms_timestamp2.csv,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231215\231215_neuropixels\231215_test7_g0\231215_test7_g0_t0.nidq.bin,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231215\231215_neuropixels\231215_test7_g0\231215_test7_g0_imec0\231215_test7_g0_t0.imec0.lf.bin,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231215\231215_neuropixels\231215_test7_g0\231215_test7_g0_imec0\231215_test7_g0_t0.imec0.ap.bin,,,,,,,,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\histology\brain annotation\brainreg_090224\segmentation\atlas_space\tracks\track_1.csv,
afm16505,231218_0,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231218\231218_behaviour\afm16505_231218_0.avi,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231218\231218_behaviour\afm16505_timestamps0.csv,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231218\231218_behaviour\afm16505looms_timestamp0.csv,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231218\231218_neuropixels\231215_test8_g0\231215_test8_g0_t0.nidq.bin,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231218\231218_neuropixels\231215_test8_g0\231215_test8_g0_imec0\231215_test8_g0_t0.imec0.lf.bin,\\gpfs.corp.brain.mpg.de\stem\data\Data_raw\petros_neuropixels\afm16505\231218\231218_neuropixels\231215_test8_g0\231215_test8_g0_imec0\231215_test8_g0_t0.imec0.ap.bin,,,,,,,,,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16505\histology\brain annotation\brainreg_090224\segmentation\atlas_space\tracks\track_1.csv,
afm16618,240212_0,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240212\behavior\afm16618_0.avi,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240212\behavior\afm16618_timestamps0.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240212\behavior\afm16618looms_timestamp0.csv,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240212\ephys\raw\trial0\trial0_g0\trial0_g0_t0.nidq.bin,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240212\ephys\raw\trial0\trial0_g0\trial0_g0_t0.imec0.lf.bin,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240212\ephys\preprocessed\catgt_trial0_g0\trial0_g0_tcat.imec0.ap.bin,\\gpfs.corp.brain.mpg.de\stem\data\project_hierarchy\data\afm16618\240212\ephys\sorting\catgt_trial0_g0,,,,,,,,,
